2019-01,22894041,22792279001,网银在线快捷实物,2019-01-01 00:06:48.382429,13121218123122570002225,2197951.27,299.97,--,退款代收款,\N,\N,\N
2019-01,110304249,110304249014,金融app整合活动,2019-01-01 00:07:45.807755,2vc61i201901011811981015_2488,2976919.65,--,2,小金库现金,\N,\N,\N
2019-01,23058372,23058372006,华夏小金库在途网银平台,2019-01-01 00:09:00.008192,2vc6a1c288efa5-777c-4986-a541-7fa2000393cd,18291778.09,0.05,--,薅-小金库红包,\N,\N,\N
2019-01,110304249,110304249014,金融app整合活动,2019-01-01 00:13:10.355490,2vc51i8fc794e7-22ea-43c6-ba74-90220605d2fe,2970441.48,--,0.01,CPS活码-赏金客-现金红包,\N,\N,\N
2019-01,110057509,110057509001,小金库-鹏华基金公司,2019-01-01 00:15:46.036251,2vc61i201901011811981015_6296,1011837432.47,2,--,小金库现金,\N,\N,\N
2019-01,110593293,110593293001,江苏京东信息技术有限公司,2019-01-01 00:15:46.144626,13117819010100041100960,85149192.84,--,5988.97,退款代收款,\N,\N,\N
2019-01,111068813,111068813001,肯特瑞小金库网银平台,2019-01-01 00:16:54.270558,2vc61i201901011811981015_6896,624031281.34,2,--,小金库现金,\N,\N,\N
2019-01,111068813,111068813001,肯特瑞小金库网银平台,2019-01-01 00:17:34.210662,2vc61i201901011811981015_7171,623985121.3,4,--,小金库现金,\N,\N,\N
2019-01,110593293,110593293001,江苏京东信息技术有限公司,2019-01-01 00:20:14.223762,13103118121214103602611,84317704.75,--,126.99,退款代收款,\N,\N,\N
2019-01,110183010,110183010001,白条合并还款网银平台,2019-01-01 00:20:22.959970,JRPPF_1458416456237056,1694624433.5,1000,--,商户结算,\N,\N,\N
